title,authors,published,categories,summary,link
Binary Diffusion Probabilistic Model,Vitaliy Kinakh; Slava Voloshynovskiy,2025-01-23,cs.CV,"We introduce the Binary Diffusion Probabilistic Model (BDPM), a novel
generative model optimized for binary data representations. While denoising
diffusion probabilistic models (DDPMs) have demonstrated notable success in
tasks like image synthesis and restoration, traditional DDPMs rely on
continuous data representations and mean squared error (MSE) loss for training,
applying Gaussian noise models that may not be optimal for discrete or binary
data structures. BDPM addresses this by decomposing images into bitplanes and
employing XOR-based noise transformations, with a denoising model trained using
binary cross-entropy loss. This approach enables precise noise control and
computationally efficient inference, significantly lowering computational costs
and improving model convergence. When evaluated on image restoration tasks such
as image super-resolution, inpainting, and blind image restoration, BDPM
outperforms state-of-the-art methods on the FFHQ, CelebA, and CelebA-HQ
datasets. Notably, BDPM requires fewer inference steps than traditional DDPM
models to reach optimal results, showcasing enhanced inference efficiency.",http://arxiv.org/abs/2501.13915v1
Analysis of Indic Language Capabilities in LLMs,Aatman Vaidya; Tarunima Prabhakar; Denny George; Swair Shah,2025-01-23,cs.CL,"This report evaluates the performance of text-in text-out Large Language
Models (LLMs) to understand and generate Indic languages. This evaluation is
used to identify and prioritize Indic languages suited for inclusion in safety
benchmarks. We conduct this study by reviewing existing evaluation studies and
datasets; and a set of twenty-eight LLMs that support Indic languages. We
analyze the LLMs on the basis of the training data, license for model and data,
type of access and model developers. We also compare Indic language performance
across evaluation datasets and find that significant performance disparities in
performance across Indic languages. Hindi is the most widely represented
language in models. While model performance roughly correlates with number of
speakers for the top five languages, the assessment after that varies.",http://arxiv.org/abs/2501.13912v1
On Learning Representations for Tabular Data Distillation,Inwon Kang; Parikshit Ram; Yi Zhou; Horst Samulowitz; Oshani Seneviratne,2025-01-23,cs.LG,"Dataset distillation generates a small set of information-rich instances from
a large dataset, resulting in reduced storage requirements, privacy or
copyright risks, and computational costs for downstream modeling, though much
of the research has focused on the image data modality. We study tabular data
distillation, which brings in novel challenges such as the inherent feature
heterogeneity and the common use of non-differentiable learning models (such as
decision tree ensembles and nearest-neighbor predictors). To mitigate these
challenges, we present $\texttt{TDColER}$, a tabular data distillation
framework via column embeddings-based representation learning. To evaluate this
framework, we also present a tabular data distillation benchmark, ${{\sf \small
TDBench}}$. Based on an elaborate evaluation on ${{\sf \small TDBench}}$,
resulting in 226,890 distilled datasets and 548,880 models trained on them, we
demonstrate that $\texttt{TDColER}$ is able to boost the distilled data quality
of off-the-shelf distillation schemes by 0.5-143% across 7 different tabular
learning models.",http://arxiv.org/abs/2501.13905v1
"Privacy-Preserving Personalized Federated Prompt Learning for Multimodal
  Large Language Models",Linh Tran; Wei Sun; Stacy Patterson; Ana Milanova,2025-01-23,cs.LG,"Multimodal Large Language Models (LLMs) are pivotal in revolutionizing
customer support and operations by integrating multiple modalities such as
text, images, and audio. Federated Prompt Learning (FPL) is a recently proposed
approach that combines pre-trained multimodal LLMs such as vision-language
models with federated learning to create personalized, privacy-preserving AI
systems. However, balancing the competing goals of personalization,
generalization, and privacy remains a significant challenge.
Over-personalization can lead to overfitting, reducing generalizability, while
stringent privacy measures, such as differential privacy, can hinder both
personalization and generalization. In this paper, we propose a Differentially
Private Federated Prompt Learning (DP-FPL) approach to tackle this challenge by
leveraging a low-rank adaptation scheme to capture generalization while
maintaining a residual term that preserves expressiveness for personalization.
To ensure privacy, we introduce a novel method where we apply local
differential privacy to the two low-rank components of the local prompt, and
global differential privacy to the global prompt. Our approach mitigates the
impact of privacy noise on the model performance while balancing the tradeoff
between personalization and generalization. Extensive experiments demonstrate
the effectiveness of our approach over other benchmarks.",http://arxiv.org/abs/2501.13904v1
"PointOBB-v3: Expanding Performance Boundaries of Single Point-Supervised
  Oriented Object Detection",Peiyuan Zhang; Junwei Luo; Xue Yang; Yi Yu; Qingyun Li; Yue Zhou; Xiaosong Jia; Xudong Lu; Jingdong Chen; Xiang Li; Junchi Yan; Yansheng Li,2025-01-23,"cs.CV, cs.AI","With the growing demand for oriented object detection (OOD), recent studies
on point-supervised OOD have attracted significant interest. In this paper, we
propose PointOBB-v3, a stronger single point-supervised OOD framework. Compared
to existing methods, it generates pseudo rotated boxes without additional
priors and incorporates support for the end-to-end paradigm. PointOBB-v3
functions by integrating three unique image views: the original view, a resized
view, and a rotated/flipped (rot/flp) view. Based on the views, a scale
augmentation module and an angle acquisition module are constructed. In the
first module, a Scale-Sensitive Consistency (SSC) loss and a Scale-Sensitive
Feature Fusion (SSFF) module are introduced to improve the model's ability to
estimate object scale. To achieve precise angle predictions, the second module
employs symmetry-based self-supervised learning. Additionally, we introduce an
end-to-end version that eliminates the pseudo-label generation process by
integrating a detector branch and introduces an Instance-Aware Weighting (IAW)
strategy to focus on high-quality predictions. We conducted extensive
experiments on the DIOR-R, DOTA-v1.0/v1.5/v2.0, FAIR1M, STAR, and RSAR
datasets. Across all these datasets, our method achieves an average improvement
in accuracy of 3.56% in comparison to previous state-of-the-art methods. The
code will be available at https://github.com/ZpyWHU/PointOBB-v3.",http://arxiv.org/abs/2501.13898v1
"GUI-Bee: Align GUI Action Grounding to Novel Environments via Autonomous
  Exploration",Yue Fan; Handong Zhao; Ruiyi Zhang; Yu Shen; Xin Eric Wang; Gang Wu,2025-01-23,"cs.CL, cs.AI, cs.CV, cs.LG","Graphical User Interface (GUI) action grounding is a critical step in GUI
automation that maps language instructions to actionable elements on GUI
screens. Most recent works of GUI action grounding leverage large GUI datasets
to fine-tune MLLMs. However, the fine-tuning data always covers limited GUI
environments, and we find the performance of the resulting model deteriorates
in novel environments. We argue that the GUI grounding models should be further
aligned to the novel environments to reveal their full potential, when the
inference is known to involve novel environments, i.e., environments not used
during the previous fine-tuning. To realize this, we first propose GUI-Bee, an
MLLM-based autonomous agent, to collect high-quality, environment-specific data
through exploration and then continuously fine-tune GUI grounding models with
the collected data. Our agent leverages a novel Q-value-Incentive In-Context
Reinforcement Learning (Q-ICRL) method to optimize exploration efficiency and
data quality. Additionally, we introduce NovelScreenSpot, a benchmark for
testing how well the data can help align GUI action grounding models to novel
environments and demonstrate the effectiveness of data collected by GUI-Bee in
the experiments. Furthermore, we conduct an ablation study to validate the
Q-ICRL method in enhancing the efficiency of GUI-Bee. Project page:
https://gui-bee.github.io",http://arxiv.org/abs/2501.13896v1
Pix2Cap-COCO: Advancing Visual Comprehension via Pixel-Level Captioning,Zuyao You; Junke Wang; Lingyu Kong; Bo He; Zuxuan Wu,2025-01-23,"cs.CV, cs.AI, cs.LG","We present Pix2Cap-COCO, the first panoptic pixel-level caption dataset
designed to advance fine-grained visual understanding. To achieve this, we
carefully design an automated annotation pipeline that prompts GPT-4V to
generate pixel-aligned, instance-specific captions for individual objects
within images, enabling models to learn more granular relationships between
objects and their contexts. This approach results in 167,254 detailed captions,
with an average of 22.94 words per caption. Building on Pix2Cap-COCO, we
introduce a novel task, panoptic segmentation-captioning, which challenges
models to recognize instances in an image and provide detailed descriptions for
each simultaneously. To benchmark this task, we design a robust baseline based
on X-Decoder. The experimental results demonstrate that Pix2Cap-COCO is a
particularly challenging dataset, as it requires models to excel in both
fine-grained visual understanding and detailed language generation.
Furthermore, we leverage Pix2Cap-COCO for Supervised Fine-Tuning (SFT) on large
multimodal models (LMMs) to enhance their performance. For example, training
with Pix2Cap-COCO significantly improves the performance of GPT4RoI, yielding
gains in CIDEr +1.4%, ROUGE +0.4%, and SPICE +0.5% on Visual Genome dataset,
and strengthens its region understanding ability on the ViP-BENCH, with an
overall improvement of +5.1%, including notable increases in recognition
accuracy +11.2% and language generation quality +22.2%.",http://arxiv.org/abs/2501.13893v1
"Federated Granger Causality Learning for Interdependent Clients with
  State Space Representation",Ayush Mohanty; Nazal Mohamed; Paritosh Ramanan; Nagi Gebraeel,2025-01-23,"cs.LG, stat.ML","Advanced sensors and IoT devices have improved the monitoring and control of
complex industrial enterprises. They have also created an interdependent fabric
of geographically distributed process operations (clients) across these
enterprises. Granger causality is an effective approach to detect and quantify
interdependencies by examining how one client's state affects others over time.
Understanding these interdependencies captures how localized events, such as
faults and disruptions, can propagate throughout the system, possibly causing
widespread operational impacts. However, the large volume and complexity of
industrial data pose challenges in modeling these interdependencies. This paper
develops a federated approach to learning Granger causality. We utilize a
linear state space system framework that leverages low-dimensional state
estimates to analyze interdependencies. This addresses bandwidth limitations
and the computational burden commonly associated with centralized data
processing. We propose augmenting the client models with the Granger causality
information learned by the server through a Machine Learning (ML) function. We
examine the co-dependence between the augmented client and server models and
reformulate the framework as a standalone ML algorithm providing conditions for
its sublinear and linear convergence rates. We also study the convergence of
the framework to a centralized oracle model. Moreover, we include a
differential privacy analysis to ensure data security while preserving causal
insights. Using synthetic data, we conduct comprehensive experiments to
demonstrate the robustness of our approach to perturbations in causality, the
scalability to the size of communication, number of clients, and the dimensions
of raw data. We also evaluate the performance on two real-world industrial
control system datasets by reporting the volume of data saved by
decentralization.",http://arxiv.org/abs/2501.13890v1
"Generating Realistic Forehead-Creases for User Verification via
  Conditioned Piecewise Polynomial Curves",Abhishek Tandon; Geetanjali Sharma; Gaurav Jaswal; Aditya Nigam; Raghavendra Ramachandra,2025-01-23,cs.CV,"We propose a trait-specific image generation method that models forehead
creases geometrically using B-spline and B\'ezier curves. This approach ensures
the realistic generation of both principal creases and non-prominent crease
patterns, effectively constructing detailed and authentic forehead-crease
images. These geometrically rendered images serve as visual prompts for a
diffusion-based Edge-to-Image translation model, which generates corresponding
mated samples. The resulting novel synthetic identities are then used to train
a forehead-crease verification network. To enhance intra-subject diversity in
the generated samples, we employ two strategies: (a) perturbing the control
points of B-splines under defined constraints to maintain label consistency,
and (b) applying image-level augmentations to the geometric visual prompts,
such as dropout and elastic transformations, specifically tailored to crease
patterns. By integrating the proposed synthetic dataset with real-world data,
our method significantly improves the performance of forehead-crease
verification systems under a cross-database verification protocol.",http://arxiv.org/abs/2501.13889v1
"Multimodal Sensor Dataset for Monitoring Older Adults Post Lower-Limb
  Fractures in Community Settings",Ali Abedi; Charlene H. Chu; Shehroz S. Khan,2025-01-23,"cs.LG, cs.CV","Lower-Limb Fractures (LLF) are a major health concern for older adults, often
leading to reduced mobility and prolonged recovery, potentially impairing daily
activities and independence. During recovery, older adults frequently face
social isolation and functional decline, complicating rehabilitation and
adversely affecting physical and mental health. Multi-modal sensor platforms
that continuously collect data and analyze it using machine-learning algorithms
can remotely monitor this population and infer health outcomes. They can also
alert clinicians to individuals at risk of isolation and decline. This paper
presents a new publicly available multi-modal sensor dataset, MAISON-LLF,
collected from older adults recovering from LLF in community settings. The
dataset includes data from smartphone and smartwatch sensors, motion detectors,
sleep-tracking mattresses, and clinical questionnaires on isolation and
decline. The dataset was collected from ten older adults living alone at home
for eight weeks each, totaling 560 days of 24-hour sensor data. For technical
validation, supervised machine-learning and deep-learning models were developed
using the sensor and clinical questionnaire data, providing a foundational
comparison for the research community.",http://arxiv.org/abs/2501.13888v1
"What Does an Audio Deepfake Detector Focus on? A Study in the Time
  Domain",Petr Grinberg; Ankur Kumar; Surya Koppisetti; Gaurav Bharaj,2025-01-23,"cs.LG, cs.SD, eess.AS","Adding explanations to audio deepfake detection (ADD) models will boost their
real-world application by providing insight on the decision making process. In
this paper, we propose a relevancy-based explainable AI (XAI) method to analyze
the predictions of transformer-based ADD models. We compare against standard
Grad-CAM and SHAP-based methods, using quantitative faithfulness metrics as
well as a partial spoof test, to comprehensively analyze the relative
importance of different temporal regions in an audio. We consider large
datasets, unlike previous works where only limited utterances are studied, and
find that the XAI methods differ in their explanations. The proposed
relevancy-based XAI method performs the best overall on a variety of metrics.
Further investigation on the relative importance of speech/non-speech, phonetic
content, and voice onsets/offsets suggest that the XAI results obtained from
analyzing limited utterances don't necessarily hold when evaluated on large
datasets.",http://arxiv.org/abs/2501.13887v1
Exploring Finetuned Audio-LLM on Heart Murmur Features,Adrian Florea; Xilin Jiang; Nima Mesgarani; Xiaofan Jiang,2025-01-23,"eess.AS, cs.AI, cs.SD","Large language models (LLMs) for audio have excelled in recognizing and
analyzing human speech, music, and environmental sounds. However, their
potential for understanding other types of sounds, particularly biomedical
sounds, remains largely underexplored despite significant scientific interest.
In this study, we focus on diagnosing cardiovascular diseases using
phonocardiograms, i.e., heart sounds. Most existing deep neural network (DNN)
paradigms are restricted to heart murmur classification (healthy vs unhealthy)
and do not predict other acoustic features of the murmur such as timing,
grading, harshness, pitch, and quality, which are important in helping
physicians diagnose the underlying heart conditions. We propose to finetune an
audio LLM, Qwen2-Audio, on the PhysioNet CirCor DigiScope phonocardiogram (PCG)
dataset and evaluate its performance in classifying 11 expert-labeled murmur
features. Additionally, we aim to achieve more noise-robust and generalizable
system by exploring a preprocessing segmentation algorithm using an audio
representation model, SSAMBA. Our results indicate that the LLM-based model
outperforms state-of-the-art methods in 8 of the 11 features and performs
comparably in the remaining 3. Moreover, the LLM successfully classifies
long-tail murmur features with limited training data, a task that all previous
methods have failed to classify. These findings underscore the potential of
audio LLMs as assistants to human cardiologists in enhancing heart disease
diagnosis.",http://arxiv.org/abs/2501.13884v1
"Utilizing Evolution Strategies to Train Transformers in Reinforcement
  Learning",Matyáš Lorenc,2025-01-23,"cs.LG, cs.NE","We explore a capability of evolution strategies to train an agent with its
policy based on a transformer architecture in a reinforcement learning setting.
We performed experiments using OpenAI's highly parallelizable evolution
strategy to train Decision Transformer in Humanoid locomotion environment and
in the environment of Atari games, testing the ability of this black-box
optimization technique to train even such relatively large and complicated
models (compared to those previously tested in the literature). We also
proposed a method to aid the training by first pretraining the model before
using the OpenAI-ES to train it further, and tested its effectiveness. The
examined evolution strategy proved to be, in general, capable of achieving
strong results and managed to obtain high-performing agents. Therefore, the
pretraining was shown to be unnecessary; yet still, it helped us observe and
formulate several further insights.",http://arxiv.org/abs/2501.13883v1
A RAG-Based Institutional Assistant,Gustavo Kuratomi; Paulo Pirozelli; Fabio G. Cozman; Sarajane M. Peres,2025-01-23,cs.CL,"Although large language models (LLMs) demonstrate strong text generation
capabilities, they struggle in scenarios requiring access to structured
knowledge bases or specific documents, limiting their effectiveness in
knowledge-intensive tasks. To address this limitation, retrieval-augmented
generation (RAG) models have been developed, enabling generative models to
incorporate relevant document fragments into their inputs. In this paper, we
design and evaluate a RAG-based virtual assistant specifically tailored for the
University of S\~ao Paulo. Our system architecture comprises two key modules: a
retriever and a generative model. We experiment with different types of models
for both components, adjusting hyperparameters such as chunk size and the
number of retrieved documents. Our optimal retriever model achieves a Top-5
accuracy of 30%, while our most effective generative model scores 22.04\%
against ground truth answers. Notably, when the correct document chunks are
supplied to the LLMs, accuracy significantly improves to 54.02%, an increase of
over 30 percentage points. Conversely, without contextual input, performance
declines to 13.68%. These findings highlight the critical role of database
access in enhancing LLM performance. They also reveal the limitations of
current semantic search methods in accurately identifying relevant documents
and underscore the ongoing challenges LLMs face in generating precise
responses.",http://arxiv.org/abs/2501.13880v1
"Eye Gaze as a Signal for Conveying User Attention in Contextual AI
  Systems",Ethan Wilson; Naveen Sendhilnathan; Charlie S. Burlingham; Yusuf Mansour; Robert Cavin; Sai Deep Tetali; Ajoy Savio Fernandes; Michael J. Proulx,2025-01-23,"cs.HC, cs.CV","Advanced multimodal AI agents can now collaborate with users to solve
challenges in the world. We explore eye tracking's role in such interaction to
convey a user's attention relative to the physical environment. We hypothesize
that this knowledge improves contextual understanding for AI agents. By
observing hours of human-object interactions, we first measure the relationship
between an eye tracker's signal quality and its ability to reliably place gaze
on nearby physical objects. We then conduct experiments which relay the user's
scanpath history as additional context querying multimodal agents. Our results
show that eye tracking provides high value as a user attention signal and can
convey information about the user's current task and interests to the agent.",http://arxiv.org/abs/2501.13878v1
